slice	item	severity	disposition	title
03-council	F-14	P2	CREATED CDT-422	Diff-mode <80 filter, spec-grep, report sections absent
03-council	F-15	P2	CHECKLIST CDT-275	Report filenames collide within a day
03-council	F-16	P2	CHECKLIST CDT-275	Prompts claim engine-enforced validation that is not implemented
03-council	F-17	P2	CHECKLIST CDT-273	Stale "SPEC-013 line N" citations in council files
03-council	F-18	P2	CHECKLIST CDT-275	Stale/contradictory statements in council SKILL.md
03-council	F-19	P2	CHECKLIST CDT-275	Step 4 finalize block undefined vars / flag never set (lint-ok waiver part COVERED CDT-264)
03-council	F-20	P2	CHECKLIST CDT-275	Investigator cache breaks read-only and blindness
03-council	F-21	P2	CHECKLIST CDT-275	Workflow path lacks parity with Task path
03-council	F-22	P2	CHECKLIST CDT-275	Workflow schemas conflict with extractor prompts (+ struck_lines dict repr)
03-council	F-23	P2	CHECKLIST CDT-270	Council tests rg/node dependency (CI wiring COVERED CDT-269; CLAUDE_CODE_VERSION + repo pollution COVERED CDT-270)
03-council	F-24	P2	CHECKLIST CDT-275	Diff-mode flavor bodies contradict investigator prompt
03-council	F-25	P2	CHECKLIST CDT-275	external-reviewer.sh drops findings without file:line
03-council	F-26	P3	CHECKLIST CDT-275	Judge schema lacks claim_id (### Claim ?:)
03-council	F-27	P3	CHECKLIST CDT-275	Minor engine robustness gaps
03-council	F-28	P3	CHECKLIST CDT-275	Council prompt nits
03-council	F-29	P3	CHECKLIST CDT-275	Orphan and dead council files
03-council	F-30	P3	COVERED CDT-289/CDT-288/CDT-291	Token cost: council.md size split, PDH dup, model-map dup
03-council	E-1	High	MERGED F-2/CDT-303	validate_judge step in finalize
03-council	E-2	High	MERGED F-3/CDT-317	Verdict-aware gate
03-council	E-3	Med	MERGED F-1/CDT-325	Implement or defer Phase 7
03-council	E-4	High	MERGED F-5/CDT-339	Fix Workflow Borda + unit test
03-council	E-5	High	MERGED F-10/CDT-380	Tool-less memory-less council agent + skeptic flavor (flavor half in F-4/CDT-330)
03-council	E-6	Med	COVERED CDT-291/CDT-289	Model-map fence dedup + split council.md
03-council	E-7	High	COVERED CDT-269/CDT-270	Council tests in CI + hermetic (signal-4 fixture in CDT-370, rg fallback in F-23 checklist)
03-council	E-8	Med	COVERED CDT-284	portable.sh sha256/lock shim
03-council	E-9	Med	MERGED F-15/CHECKLIST CDT-275	Unique report slugs + sidecar cleanup
03-council	E-10	Med	MERGED F-7/CDT-360	Blind path WTROOT + fail loudly
03-council	E-11	Low	MERGED F-17/CHECKLIST CDT-273	Section anchors + SPEC line ban
03-council	E-12	Med	MERGED F-12/CDT-401	format_brief accepts structured briefs + evidence schema
03-council	E-13	Med	CHECKLIST CDT-275	Generate substitution blocks from prompts' Variables tables
03-council	PF-docs	P3	CHECKLIST CDT-275	docs/commands/council.md usage omits --external/--why/--council-tier
03-council	PF-security-flavor	P3	CHECKLIST CDT-275	security.md flavor runs side-effecting scan.sh
03-council	PF-tier-grade-sig5	P3	CHECKLIST CDT-275	tier-grade signal-5 *test* pattern over-matches
03-council	PF-check-template-vars	P3	CHECKLIST CDT-275	check-template-vars digit vars / status overwrite
04-transcript	F1	P1	CREATED CDT-306	Recorder forks jq per line every tick; exceeds 10 s hook timeout (+E3)
04-transcript	F2	P1	CREATED CDT-308	Bare /compact-transcript always misses on live session
04-transcript	F3	P2	CREATED CDT-309	assemble.locate(sid) full-corpus scan
04-transcript	F4	P2	CREATED CDT-313	Mirror store world-readable (umask); unredacted tool output
04-transcript	F5	P2	CREATED CDT-319	No per-sid lock; .bak.PID crash leftovers become phantom sids (+F14)
04-transcript	F6	P2	CREATED CDT-329	Install/cron docs use cwd-relative skills/ paths (related CDT-297)
04-transcript	F7	P2	CREATED CDT-338	compact-transcript.md forwards "$@" not $ARGUMENTS
04-transcript	F8	P3	CREATED CDT-347	--sid . passes validation, mirrors into store root
04-transcript	F9	P2	COVERED CDT-269	Transcript suites not in CI
04-transcript	F10	P3	COVERED CDT-270	M4 append-fail test fails as root (chmod a-w)
04-transcript	F11	P2	COVERED CDT-285	GNU-only touch -d/find -printf in tests; recorder sha256sum fallback covered by CDT-284
04-transcript	F12	P3	CREATED CDT-355	Test gaps: hook-shim cache path, empty/tool-only SubagentStop fixture
04-transcript	F13	P3	CREATED CDT-364	Meaning text unescaped; "## user"/"> @" spoof markers
04-transcript	F14	P3	MERGED F5/CDT-319	summarize reapply mv vs recorder append race (unverified)
04-transcript	F15	P3	CREATED CDT-376	Stale ticket/branch comments in test suites
04-transcript	F16	P3	CREATED CDT-386	/compact-transcript description jargon
04-transcript	F17	P3	CREATED CDT-400	bash vs Python ident parity (DEL/floats) -> permanent lag
04-transcript	F18	P3	CREATED CDT-410	transcript-parse SKILL.md carve-out contradiction / stale API notes
04-transcript	F19	P3	CREATED CDT-420	discover-host.sh orphan; test-hosts.sh unreferenced
04-transcript	F20	P3	CHECKLIST CDT-277	grok_normalize is_error matches exit: N anywhere
04-transcript	F21	P3	CHECKLIST CDT-277	hosts-grok-locate-test aborts silently under set -e
04-transcript	F22	P2	CHECKLIST CDT-280	dash_encode_cwd replaces only "/" (shared encode-project helper)
04-transcript	F23	P3	CHECKLIST CDT-277	parselib annotations crash on Python <=3.8
04-transcript	T-mirror-argv	P3	CHECKLIST CDT-277	transcript-mirror.sh no-ops unless --transcript is argv[1] (per-file Major row)
04-transcript	T-sync-fanout	P2	CHECKLIST CDT-277	transcript-sync no-args refreshes every sid from every project's cron (per-file Issue row)
04-transcript	E1	S/high	COVERED CDT-291	One source for mirror docs (docs vs SKILL.md dup)
04-transcript	E2	S/medium	CHECKLIST CDT-277	Trim transcript-parse/SKILL.md
04-transcript	E3	M/high	MERGED F1/CDT-306	Cursor-with-offset incremental recorder
04-transcript	E4	S/low-medium	CHECKLIST CDT-288	Collapse PDH triple-resolution in compact-transcript + wrappers
04-transcript	E5	M/high	CHECKLIST CDT-277	Installer helper for mirror opt-in
04-transcript	E6	S-M/medium	COVERED CDT-293	Shared transcript test lib (drifted helpers, grep-the-source asserts)
04-transcript	E7	S/high	CHECKLIST CDT-277	Status-aware Meaning tail freshness footer
04-transcript	E8	S/medium	CHECKLIST CDT-277	Redaction seam + re-exposure warning (umask part in CDT-313)
04-transcript	E9	S/high	COVERED CDT-269	CI job for transcript suites (macOS lane CDT-271)
05-autopilot-epic	F1	P0	COVERED CDT-260	Seal failure path git clean -fd deletes untracked user files
05-autopilot-epic	F2	P1	COVERED CDT-260	Autopilot end-state reset --hard loses uncommitted tracked edits
05-autopilot-epic	F3	P1	CREATED CDT-305	/epic --autopilot contract contradicts itself across files
05-autopilot-epic	F4	P1	COVERED CDT-284/CDT-285	epic-lib needs flock + declare -A (stock macOS broken)
05-autopilot-epic	F5	P2	CREATED CDT-307	resume-state.sh prefix glob picks child plan for parent
05-autopilot-epic	F6	P2	CREATED CDT-310	append-card.sh integer overflow bypasses range + BC7 invariant
05-autopilot-epic	F7	P2	CREATED CDT-311	return in top-level bash fences does not stop execution
05-autopilot-epic	F8	P2	CREATED CDT-315	ensure-integration-worktree exits 0 on failure
05-autopilot-epic	F9	P2	CREATED CDT-322	Undefined shared C4 Decision->action map; A.5 self-reroute
05-autopilot-epic	F10	P2	COVERED CDT-269	autopilot/epic test suites not in CI
05-autopilot-epic	F11	P2	CREATED CDT-331	M10.1 overflow unreachable at plan-approve
05-autopilot-epic	F12	P2	CREATED CDT-340	end-state BC3 ancestry check uses stale origin ref
05-autopilot-epic	F13	P2	CREATED CDT-350	seal hard-codes default branch + checkout before dirty check
05-autopilot-epic	F14	P3	CREATED CDT-358	PIPE_BUF atomicity claim wrong; rationale uncapped
05-autopilot-epic	F15	P3	CREATED CDT-368	(unverified) plan dir differs between kickoff and resume-state
05-autopilot-epic	F16	P3	CREATED CDT-378	Stale refs and test labels in autopilot slice
05-autopilot-epic	F17	P3	CREATED CDT-388	/epic docs missing --autopilot/--no-context-discipline flags
05-autopilot-epic	F18	P3	CREATED CDT-404	sync-apply applies backward status moves
05-autopilot-epic	F19a	P3	CREATED CDT-414	env-driven eval EPIC_SEAL_RELEASE_HOOK in production
05-autopilot-epic	F19b	P3	CREATED CDT-424	dead status_of, test.sh global set -e/tmp leaks, A.5 side-effects wording
05-autopilot-epic	E1	High	COVERED CDT-288	Deduplicate PDH stanza in epic SKILL (24 copies)
05-autopilot-epic	E2	High	COVERED CDT-289	Split epic SKILL into router + per-mode step files
05-autopilot-epic	E3	Med-High	COVERED CDT-292	Move CDT archaeology / clause codes out of prompts
05-autopilot-epic	E4	Medium	CHECKLIST CDT-289	Merge self-answer/ship-gate-council/end-state into one ship pipeline
05-autopilot-epic	E5	Medium	CHECKLIST CDT-293	Turn self-answer-scenarios.md into table-driven fixtures
05-autopilot-epic	E6	High	CHECKLIST CDT-281	Git-safety tests: end-state squash, seal untracked/dirty, non-default branch, ensure rc=0
05-autopilot-epic	E7	High	COVERED CDT-271	Portability CI matrix (macOS / bash 3.2)
05-autopilot-epic	E8	Medium	CHECKLIST CDT-293	Replace prose-phrase greps with structural checks (fence cmds vs epic-lib subcmds)
05-autopilot-epic	E9	Medium	MERGED F5/CDT-307	Single ticket->plan resolver (fixes F5 + F15)
05-autopilot-epic	E10	Medium	COVERED CDT-287	epic-lib doctor prerequisite check
05-autopilot-epic	T-parse-flags	Minor	CHECKLIST CDT-281	autopilot parse-flags repeat semantics inconsistent/undocumented; loc-exclude cwd requirement undocumented
05-autopilot-epic	T-ship-gate	Minor	CHECKLIST CDT-281	ship-gate-council 2a fresh halt card run_id unspecified; ship-choice cards indistinguishable
05-autopilot-epic	T-epic-skill-prose	Minor	CHECKLIST CDT-281	epic SKILL "$@" empty in Bash tool fences; B.7 list indentation; duplicated model/effort resolver blocks L262-320
05-autopilot-epic	T-envcaps	Minor	MERGED F6/CDT-310	append-card env caps unvalidated; self-answer exit-64 wording; budget-check overflow
05-autopilot-epic	T-scenarios-stale	Minor	MERGED F16/CDT-378	scenarios F12 fixture impossible, 12 vs 13 count, process notes, end-state brittle release cite
05-autopilot-epic	T-docs-end-heading	Minor	MERGED F17/CDT-388	docs/commands/epic.md L67 heading uses rejected token end
05-autopilot-epic	T-test-circular	Minor	COVERED CDT-293	autopilot test.sh process_stamps_ok tests its own predicate (circular)
05-autopilot-epic	T-cwd-bash	Minor	COVERED CDT-297	commands/epic.md L18 cwd-relative bash skills/epic/epic-lib.sh
05-autopilot-epic	T-epic-parse-space	Note	NOT-ACTIONABLE	epic parse-flags space form swallows next token (still exits 64, safe)
06-orchestrate	F1	P1	COVERED CDT-268	TaskCompleted council gate bypassed without timeout (macOS)
06-orchestrate	F2	P1	CREATED CDT-312	Task-graph dependency keys != task-store keys (stall)
06-orchestrate	F3	P1	COVERED CDT-263	MEMDB assigned before MROOT; DB-mode memory never loads
06-orchestrate	F4	P1	COVERED CDT-285	dag-lib.sh requires bash >=4.3 (declare -A, [-1])
06-orchestrate	F5	P1	COVERED CDT-284	task-store.sh requires flock
06-orchestrate	F6	P2	COVERED CDT-268	memory-capture template ${VAR,,} bash-4 (also CDT-285)
06-orchestrate	F7	P1	COVERED CDT-266	router-static-test T10 red on master (02-scope.md:6)
06-orchestrate	F8	P1	COVERED CDT-264	review-and-commit finalize split by commented line continuation
06-orchestrate	F8b	P1	CREATED CDT-320	review-and-commit finalize $PLAN_FILE/$degraded empty in fresh fence (child of CDT-264)
06-orchestrate	F9	P2	CREATED CDT-334	bash-compress auto-allows arbitrary chained commands
06-orchestrate	F10	P2	COVERED CDT-264	--impact grep --include brace pattern matches nothing
06-orchestrate	F11	P2	CREATED CDT-343	init-orchestration Step 7 DB seed inserts empty row / wrong root
06-orchestrate	F12	P2	CREATED CDT-354	SHIP_START never recorded; ship-history gate exits 64
06-orchestrate	F13	P2	CREATED CDT-363	kickoff docs say no worktree created
06-orchestrate	F14	P2	CREATED CDT-373	plan/spec location contract inconsistent; no Step 6 spec commit
06-orchestrate	F15	P2	COVERED CDT-285	GNU-only grep -oP in kickoff
06-orchestrate	F16	P2	CREATED CDT-381	kickoff Task Map append literal \n, unquoted path
06-orchestrate	F17	P2	CREATED CDT-392	fix-ticket example id with dot rejected by worktree-lib
06-orchestrate	F18	P3	CREATED CDT-406	dag-lib exit-code overload; 07-tasks halt only a comment
06-orchestrate	F19	P2	CREATED CDT-416	no-git-repo behavior contradicts kickoff HARD ERROR
06-orchestrate	F20	P2	CHECKLIST CDT-278	wrap-ticket harvests learnings from wrong tree; TICKET_ID unset
06-orchestrate	F21	P2	CHECKLIST CDT-278	LLM learnings text inside double-quoted bash
06-orchestrate	F22	P2	CHECKLIST CDT-278	prune-remote can delete remote-only commits (no fetch/lease)
06-orchestrate	F23	P3	CHECKLIST CDT-286	helpers hang on trailing value-less flag (shift 2)
06-orchestrate	F24	P3	COVERED CDT-269	slice test harnesses not wired into CI
06-orchestrate	F25	P3	CHECKLIST CDT-278	stale text in init-orchestration SKILL.md
06-orchestrate	F26	P3	CHECKLIST CDT-278	docs drift: branch naming, review-and-commit behavior, anchors
06-orchestrate	F27	P3	CHECKLIST CDT-278	cross-step references break load-current-step-only protocol
06-orchestrate	F28	P3	CHECKLIST CDT-278	fix-ticket/premise/workflow.js drift
06-orchestrate	F29	P3	CHECKLIST CDT-284	escalation-gate realpath -m GNU-only; no traversal test
06-orchestrate	T-00resolve	Issue	CHECKLIST CDT-278	00-resolve ACCUM -gt 0 errors on empty resume-state
06-orchestrate	T-06design	Issue	CHECKLIST CDT-278	06-design auth substring classifier over-triggers council
06-orchestrate	T-07tasks-halt	Major	MERGED F18/CDT-406	07-tasks halt only a comment, fence continues
06-orchestrate	T-taskstore-msg	Issue	MERGED F2/CDT-312	task-store L124 prints created after upserted
06-orchestrate	T-kickoff-finder	Major	MERGED F26/CDT-278	AGENTS roster omits @finder for /kickoff
06-orchestrate	T-wrap-steporder	Issue	MERGED F20/CDT-278	wrap-ticket step order 5.5 before 5; TICKET_ID L306/530/551
06-orchestrate	T-fixticket-stale	Issue	MERGED F28/CDT-278	fix-ticket README-version text, L347 wording
06-orchestrate	T-init-spike	Major	MERGED F25/CDT-278	init-orchestration L654 spike plan reference
06-orchestrate	T-orch-steps	Minor	CHECKLIST CDT-278	09-review TASK_ID, 10-qa no cap, 05-questions autopilot, 01-fetch tool name, 03-worktree CONTEXT.md
06-orchestrate	T-init-helpers	Minor	CHECKLIST CDT-278	disclose missing-key, signing tag.gpgsign, normalize plan/apply mismatch, weak allowlist test
06-orchestrate	E1	high	COVERED CDT-288	centralize PDH + model-map boilerplate (model-map part CDT-291)
06-orchestrate	E2	high	COVERED CDT-290	move hook bodies out of init-orchestration SKILL.md
06-orchestrate	E3	high	COVERED CDT-271	portability (macOS) test lane
06-orchestrate	E4	med	COVERED CDT-286	strengthen check-hook-templates (shellcheck, bash4 grep)
06-orchestrate	E5	med	COVERED CDT-293	shared test library
06-orchestrate	E6	high	COVERED CDT-269	one test runner in CI
06-orchestrate	E7	med	CHECKLIST CDT-278	dag-lib as pure jq + dag-lib-test
06-orchestrate	E8	high	CHECKLIST CDT-278	unify task identity model
06-orchestrate	E9	med	CHECKLIST CDT-278	deduplicate kickoff <-> orchestrate Steps 4-7
06-orchestrate	E10	med	COVERED CDT-291	autopilot envelope macro
06-orchestrate	E11	high	COVERED CDT-263	skill-lint use-before-assign rule (also CDT-272)
07-memory	F-1	P0	COVERED CDT-262	lembed wrong API (model name not registered)
07-memory	F-2	P1	COVERED CDT-264	# lint-ok inside SQL strings in commands/memory.md 413/1426/1516
07-memory	F-2b	P1	CHECKLIST CDT-276	$THRESHOLD undefined in distill agent-selection fence
07-memory	F-3	P1	CREATED CDT-321	Pre-distill validation aborts on distill's own distilling_lock
07-memory	F-4	P1	CREATED CDT-327	Validation score caps at 45; >80 auto-archive unreachable
07-memory	F-5	P1	CREATED CDT-336	Tiered load hides tier-0 once any tier-1/2 row exists
07-memory	F-6	P1	CREATED CDT-345	validate --reconcile cannot find reconcile-lib.sh on installed plugin
07-memory	F-7	P1	CREATED CDT-357	memory-recall fence EXT_DIR/MODEL_DIR unset (continuation part COVERED CDT-264)
07-memory	F-8	P1	CREATED CDT-367	migrate-md drops # lines, truncates, deletes source
07-memory	F-8b	P1	CREATED CDT-377, CDT-387	Reconcile O(n^2)+TSV misparse (377); _embed_candidates silent no-op + T15 (387)
07-memory	F-9	P2	CREATED CDT-402	vec0 L2 metric treated as cosine
07-memory	F-10	P2	COVERED CDT-284/CDT-285	export-seed-pack bash4 + seed-common sha256sum
07-memory	F-11	P2	CREATED CDT-412	python3 -c interpolates untrusted REF_PATH (validate fallback)
07-memory	F-12	P2	CREATED CDT-421 + CHECKLIST CDT-276 (--- framing part)	export --agent deletes other packs; '---' breaks round-trip
07-memory	F-13	P2	CHECKLIST CDT-276	embed-one.sh referenced by cwd-relative path (memory-store SKILL:147, protocol.md:106)
07-memory	F-14	P2	CHECKLIST CDT-276	curl calls without --connect-timeout/--max-time (embed-one, recall, migrate-md, download-extensions)
07-memory	F-15	P3	CHECKLIST CDT-276	seed sanitizer rejects github URLs with paths and dotted filenames
07-memory	F-16	P2	CHECKLIST CDT-276	distiller/project-init rows never embedded (+ distiller non-transactional insert/archive/log)
07-memory	F-17	P2	CHECKLIST CDT-276	project-init fences: cat > with indented EOF, unset MROOT at 455, re-run dup (+ no .timeout)
07-memory	F-18	P2	COVERED CDT-263	memory-recall:203 MEMDB before MROOT
07-memory	F-19	P3	CHECKLIST CDT-276	inline PRAGMA busy_timeout pollutes stdout (reconcile-lib, test-seed-pack eval)
07-memory	F-20	P2	CHECKLIST CDT-276	adjust-agent appends bare .claude/memory/ to .gitignore (contradicts SPEC-024 M9)
07-memory	F-20b	P2	COVERED CDT-269	test-migrate/test-reconcile not in CI
07-memory	F-21	P3	CHECKLIST CDT-276	adjust-agent Step 7 fence relies on nonexistent $1/$@ (+ line 81 grep -c || echo 0)
07-memory	F-22	P3	CHECKLIST CDT-276	project-init seeds Bash(*)+acceptEdits without sandbox
07-memory	F-23	P3	CHECKLIST CDT-276	memory docs drift (defaults, anchor, cosine, 5 vs 10, /memory-distill, stats --agent)
07-memory	F-24	P3	CHECKLIST CDT-276	cortex-load.md: no .timeout, no :-0 default, missing type column
07-memory	F-25	P3	CHECKLIST CDT-276	reconcile-lib resolve not transactional, no winner!=loser/id checks, stale vector on merge
07-memory	T-1	P2	CHECKLIST CDT-276	commands/memory.md --agent interpolated into SQL unescaped (437, 882)
07-memory	T-2	P3	CHECKLIST CDT-276	memory.md flag gaps: --compress not parsed, export positional 535, reconcile cap 500 vs batch 50
07-memory	T-3	P2	CHECKLIST CDT-276	protocol.md write retry double-inserts; fallback writes literal <content>
07-memory	T-4	P3	CHECKLIST CDT-276	memory-store SKILL fences: $ESCAPED undefined, verify selects global newest row, empty THRESHOLD
07-memory	T-5	P2	CHECKLIST CDT-276	embed-one: unquoted .load $EXT_DIR; EMBED_MODEL falls back to 'none'/'remote' sent as model
07-memory	T-6	P2	CHECKLIST CDT-276	migrate-md drops existing vec table on failed table_info probe; embeds archived rows; no prereq check
07-memory	T-7	P3	CHECKLIST CDT-276	seed-common regex [\w.-/] range; mv resets .gitignore mode to 0600
07-memory	T-8	P3	CHECKLIST CDT-276	validate extractor rule 2 does not require every input memory in output
07-memory	T-9	P3	CHECKLIST CDT-276	import-seed-pack fallback line cap not enforced; dedupe global not per-agent
07-memory	T-10	P3	CHECKLIST CDT-276	migrate-v2/v3 plain BEGIN + version check outside txn (use BEGIN IMMEDIATE)
07-memory	P-1	High	CHECKLIST CDT-276	memdb.sh CLI for all DB ops (parameterized python sqlite)
07-memory	P-2	High	COVERED CDT-262	Embedding smoke test in CI
07-memory	P-3	High	COVERED CDT-272 (harness); lint part CHECKLIST CDT-264	Fence-exec tests + lint for # in quoted SQL and backslash-space
07-memory	P-4	High	MERGED F-5/CDT-336	Bounded since-last-distill tier-0 tail + stats column
07-memory	P-5	High	MERGED F-8b/CDT-377	Rewrite reconcile candidate generation in python
07-memory	P-6	High	MERGED F-4/CDT-327	Rescale validation scoring + tests
